berg_id,date,lat,lon,size_1,size_2,gap_days,u_berg,v_berg,u_wind,v_wind,u_curr,v_curr,prev_u,prev_v,prev_speed
b15x,2015-10-30,-58.6667,-48.9167,10.0,7.0,7,0.3589294397509749,0.1279745370370362,0.523681640625,4.696929931640625,0.0939970090985298,0.036011841148138,0.1613911814402375,0.0517931233465615,0.1694982037446645
a56,2015-10-30,-58.8167,-45.2833,14.0,7.0,7,0.0047651298536877,-0.1432035069444451,0.744384765625,6.212554931640625,-0.0598162785172462,0.0183111056685447,0.2754476445961311,0.0213169014550274,0.27627127103844856
a57,2015-10-30,-71.9333,-57.5333,11.0,5.0,7,-0.0266400179105471,0.0365641534391539,6.064697265625,2.171539306640625,-0.0128177739679813,0.0140385143458843,-0.0038151835687569,-0.0121758630952395,0.012759595125917117
b09f,2015-11-06,-74.8167,-27.2667,21.0,8.0,7,0.0072310483081326,0.0091410383597878,-0.873779296875,2.257476806640625,-0.0091555528342723,-0.0103762932121753,0.0112708470079939,-0.0061062136243386,0.01281865192224453
a57,2015-11-06,-71.7333,-58.0,11.0,5.0,7,-0.0105749697284432,0.0,5.801025390625,1.814117431640625,-0.0201422162353992,0.0048829615116119,-0.0266400179105471,0.0365641534391539,0.0452396714289158
b31,2015-11-06,-71.7333,-106.1667,18.0,11.0,7,-0.067303653492644,-0.0304762218915354,-12.866943359375,-2.379241943359375,0.0378429517149925,-0.033570360392332,-0.0534917232991039,-0.0395989781746031,0.06655406474424073
b15x,2015-11-06,-57.9667,-45.1667,10.0,7.0,7,0.1415607334012117,0.0365641534391539,-1.217529296875,5.926422119140625,0.0244148075580596,0.1355021819472313,0.3589294397509749,0.1279745370370362,0.3810614449794055
c28b,2015-11-06,-74.3167,-28.7667,21.0,14.0,7,-0.0232158222147881,0.0182820767195756,1.271728515625,3.093414306640625,-0.0592059083282947,0.0457777641713619,-0.0157248825894115,0.0060879315476184,0.016862231257436376
b15r,2015-11-06,-59.0,-26.2333,10.0,2.0,7,0.0142197516118518,0.0609341617063494,2.335205078125,-2.391937255859375,0.0543229468166828,0.1159703359007835,0.066133759954618,0.0213351835317463,0.06949002994724016
b15z,2015-11-06,-73.7833,-25.7333,16.0,8.0,7,-0.0668237115233386,0.0243700082671941,1.129150390625,2.191070556640625,-0.078127384185791,-0.0006103701889514,-0.0499840862158944,-0.0182820767195756,0.05322258171132262
b34,2015-11-06,-75.95,-157.6167,15.0,5.0,7,-0.0342548955459678,0.0152289699074089,5.909423828125,8.963531494140625,-0.0317392498254776,0.0311288796365261,-0.0962152182272421,-0.0243700082671967,0.09925354160663012
b09i,2015-11-06,-66.2,141.7667,12.0,6.0,7,-0.0557076666542014,0.0609341617063507,-12.114990234375,12.118804931640623,-0.1110873743891716,-0.0018311105668544,-0.019566864711716,0.0548462301587296,0.058232045793282394
b16,2015-11-06,-74.3333,-29.3333,16.0,6.0,7,-0.0604748016095302,0.0365641534391513,1.721923828125,3.440093994140625,-0.0659199804067611,0.039674062281847,-0.0132510743068141,0.0,0.0132510743068141
d21a,2015-11-06,-70.2833,-4.2833,21.0,5.0,7,-0.0041418394989604,0.0030348247354491,1.082275390625,0.069000244140625,-0.0421155430376529,0.0158696249127388,-0.0542492472897835,-0.0304579398148152,0.06221468419329144
